sepal_length,sepal_width,petal_length,petal_width,species
gAAAAABqhp8-A0BVV6WC-RVc-tX6vSX6QC7LQaT9g0mhSMVrEwOq5kTK2z72g0sziC7A_D6Lzigs33F7ZTYZqWBsBi5oiDS8qg==,gAAAAABqhp8-IdSJqkpS7ArhpMApGsppRSTNaXs184fqATP2Hkm4Ln-zbqKopY0h2QiGkdZKkp_timfzghLNKb-L9Ljk5wvowA==,gAAAAABqhp8-Y4NDkWcyG0yvZgLpfHK3TBb6mnz0q0FmQPpKlYLf5ASipAzjCM3LQ_3UoKcbpWnvNskMgwlB8jSF4ImJhN37fA==,gAAAAABqhp8-Rs-MuFyPiNubRaLWCaZYAiWZ-z0zOewkd70EjlIHLZPux4sVXEngrOyaZwLSlJzbaAs3C-thEgxtAYlRraygzg==,gAAAAABqhp8-3VN7EzkRzOJ-OeYoZz7_1X9OXnqed1fD1cU2wXoIyhFUf4ezZnDf7VeXxWazYsrE8KEqDdCXgVJaUG4UQJj6vQ==
gAAAAABqhp8-ZGuvRYQAhc3kYPVA-PBwkM-RZLou00oun_yuNPeFmYPTiMG3okwUr1CFR8g4kK7iv7lUsq6_6xqoh8NzUgA-bA==,gAAAAABqhp8-Ycjs7XWILBJnVsQxULKEST82VSuzHsZRHa2IdYI_f8985DOmK1QQHlMTD07_uRwJQdZZoT_gcr9nrLZdi3d7wQ==,gAAAAABqhp8-ROO1MOmdX46yKU4SgoUmGQ89zBJa2izeP734FVjK03FhTG-xSge1xVnjRDFjvIVC-U0I58_62vQh7o11Oqb1_A==,gAAAAABqhp8-A5cb8bEWWDZRJm0VzZMvd3ZxjDplqBxIxLQYihsfU0U5Huyyft_hZ6dC4WjAHrzhS_KB15m59G5Afh37KiBAEg==,gAAAAABqhp8-BoaWbNCiy_LWwl5n2P5SK6DsxTqvGq4k84c8Qij2M2vSoFC_a33HQnW12ivyH3Z0Rm7F5cv8WkQvtsGTMO0txw==
gAAAAABqhp8-7RyVSBNK4YX5GBLtbONRNC-ccD4AXVZdVM6M5eBkcQU2yfxNFFVvJA90HDnxlvht82D5jdN6ReDXbSYR8rWVYQ==,gAAAAABqhp8-D7mf6QjOfmlynqzM72hUOTAlznX6QFqfQ1CHcuTX1BAN2KPidfuCPqz2a-lFmo556yS9AyJY0P9pAoKc2C4Ysw==,gAAAAABqhp8-bjgHZwdqTQzmVVEVRriLXkL0d882uocSkOwawWmoV4z-j6FLGhuBoGZmvbFjqqiNybUUbdMkh6-O5M5gDIIDGQ==,gAAAAABqhp8-jyeQGUXz9HvS_ZSG9WYbMrHj20MeQffnwXpYkcdYxFnIQbr4TKool_WJoXHlpwMkYYaSpPSoAP8UrbbQx4HCKg==,gAAAAABqhp8-HlXw1fUml_bGZuUg1QsJKV00OC5RoZL6WeHur2UxoNO6HQFPaVEviDZZr2OjndajYJ139b5t7vP4miiRdYw9lA==
gAAAAABqhp8-gv7tsjAMxX5asmmKpEibWUgn1ahsvDCr55nJdU7Kjs69HJDNAyzjq_-t0uFKTDWSUChsRWmotbIW5n-E2v18zw==,gAAAAABqhp8-P2gR3QhbqLX8HRxpsjUScPkD8YNSvF_61iuO9ncyrwhEVsKuihx7Jq6z3fqck95aeARYx7AIrlqC7aYVEilIMQ==,gAAAAABqhp8-L6GMB9-4Zy-scUMX3z5Ri-oQ_ARy_rzlO1tsnwf-KOufUoUfcghZ0UAh10yNJu-jrEF5ynjATbt3aKTdBCGlAw==,gAAAAABqhp8-Y9FGMLV6yiJqW_EjmE1D7R8UYCiXeGP7eM4OW73kgYNmYxi5hpSSuYb_Ly_h1cgoECGhygQ2faa69ae0f4km6w==,gAAAAABqhp8-j7YJh13ow4szUW3amJ0pQbRIzDGZSvIgqFUpV_MVQ7TOjJ_THIA23pPmK6mjpcUnfpvPH-MPc0eGQRq38AFaeg==
gAAAAABqhp8-P2HPSmCj9dNAqGNmzt2oqO4NJiuxB95WuIgz3B_7wLVfhXpxJ_SkOGeXQxZSyobYV4JP6thJdY7hVTH2Cn1MDw==,gAAAAABqhp8-96nCD_8t-o68DRKBeiOXhF6Q6wFWOeUS486vzUPQD3-th0qB3g05AKEbLPw0TSNg_WH5crSdTmMPejhHsfymlA==,gAAAAABqhp8-p140XDsTCXr_HvYTjeWezc1eJKMVRoleAVOw2lIWUqOy03MvvSdyb8LR9XufN59BZq6tUVwCdccOS9dyJNgvKA==,gAAAAABqhp8-uguUMnVWdX93_bmN1IPMJA477V-oJ2Ub1TO-akz-4aV7eH8MW-GlZ894z5k6M0OaQO7_j2OdnXRAeQQvN_1Vsg==,gAAAAABqhp8-2-swBpEqX_Vt8cLaFd-nm6qds5SAmfYWseSdg_geid-6SE3N1tWnjosVbjhbjC2WQliePv_1KGZRfNjwjjwiEA==
gAAAAABqhp8-99ClRnucw-5u4hlLaF2tL_VkW7F7ezhaKQTf5tutLFszXwfA_bQ0KZs7qMFTm2hGcFBoyL8Cw3mkJ6Gt6mCyJg==,gAAAAABqhp8-HGaWSv3SIoYng5eoS6A_hr-Pa9pxsY1bcas6V7HC3iRVZHQTSasR9TktBYWWQOtI5P5OcQnjJhyQgPznc_C9-A==,gAAAAABqhp8-_E77P65uc2kXD3m-U-6c-QITZbTmEWy3G4Iky0sXmiHqBr9saSnLS7uE_g6xEGKYvWX-SjBZQsnaYZZMziyo7g==,gAAAAABqhp8-kIHCe0BEPxr3fVweMSZbhsYmw89Z3BLeR2IX_juVKh2_zESUguPcj1VE78RfQILzpv1tSLMhq8GFtYkSMbhwIw==,gAAAAABqhp8-J25cozjHnDdaYnh-206QcYYdePM9NnlZNazxFYDwEx3FJt8zgHECV4DcUxEi8DdVK8J5nYqP463kD8JKZNCtlA==
gAAAAABqhp8-mX8y1oaUH0UF2k0y0wv3p5HvOysiE3LkJE5VjbSFcVaSy1Z6G_3QCibislxSRJoroyQK58nDYVrTHme-sTobEA==,gAAAAABqhp8-raJbQRo3hRTXWftk7qbqDrDNfM1-nN4aj0TykAptI_mE52jwY8un6OxBvQG1ENw3PaZYgdPBEnUPWxkzgJi5Og==,gAAAAABqhp8-UV0MfwS7CXjF31fiS4ZBbb0YT0i11uSzIm3b1YUmlcok16M0o2AahpGvKV5yQJeEUFfwdBCY_VV_5a3Sp_J0QQ==,gAAAAABqhp8-L0EpfTA1ACbWhNbim6TRUqtHSyymzrC28Wohy0Z4pv7d5PuYs6HtGy5AhW-a9YIIUTEwGlIB9h3VI63NeCk8PQ==,gAAAAABqhp8-OFvGYQX2fdDHWKhbbbn8MGjc5xaWkOawiUsJnyL9rnCPW1LH8gWhFHhbATFj8qKMZbkiCESMl7NgHqjdy2kXJA==
gAAAAABqhp8-7khlNCBEDo0uW2nHYbfqEVB0Dg5RuR8tbQFRPSRLB_2g9evMrSIpQl8ITAuF89pNQe77mGopcPstRSie-uDsrA==,gAAAAABqhp8-21lMyslCPWT3odC8ynthoTbQRyLGQxW3OCV-Jfsxk-eZNjhaKNrXXa7Attm30C1FslHBliD33pkyVAtbRE_HCw==,gAAAAABqhp8-QUoYvB12Q83AzCpJR1a4wKDT-dTDhlCCbKcD87CmjyegkS2GycXjYsB6YYLJobh9JX0TC3o-9VsQt8iwg_Bn6Q==,gAAAAABqhp8-8C1dWmWDShM-sxIZDNiz7fw1CfSH3a6LtVpgyKG6oteD7ImE7NWUW256bFZCyC_oToabMaRzawnC0PWjn_WgcQ==,gAAAAABqhp8-1DDPP15CYYPr5ima5ncRkOR-Cj27GiNeReE0cNCWutpfPatydJ-uoUGj07CefpokqJwlAA3uEKgw0mZuSYILTw==
gAAAAABqhp8-55klQWTMqrzTT4_ebs8M1hSLtSEIOgpaEbNXgeY8Ohu_AKVyijgEh47-DevPRy-V5n7A-54dwgUUesR_Lhw5Sg==,gAAAAABqhp8-B_FIzUDBXPvcztdtT7yhQomrQFH-yjWD4K8Sp24wo1Li7qRRKmsGOxger3GoeumvzwPKEG5Hz51IHeAHOgfsFA==,gAAAAABqhp8-MHl3uuBEVHcjvgI8GDHsMp81OQI0Aa5725QiaPBKV_Ne8vJJLTC76ELydPWB9DkWCcvICARQ7OK-AHwZc50Kmg==,gAAAAABqhp8-CAppafCd3KL5U0R9VchPU3Mv5dfjD4ELs5b37995eh0sMm_qBZ2LxmJWjdgwRL_IBAGqaUGLSInmHdH9iGHTMw==,gAAAAABqhp8-GkU2ZkcbwVV3lpXja6UFYPOvmgQGyyR8syT6VLkG_9dUdC9CpWvTx_aoPnR6PFT10JQoMdl2622ngNXWUyMHpg==
gAAAAABqhp8-XKD7afiNTTxQjBZ_E9OW1YgikbK3aN7UPaTjOUUEBywgptZF3nDQgca5f4IC6OQPiFdsaAK32qPO7MltdAitXA==,gAAAAABqhp8-lwN577iI8fGOBGiBh2tkTLXeXIfi9M7JnYh08JwGcnoUvbDyldBD0roUfP_pIv7p2eZfSTA1aUm153OK8sIxQg==,gAAAAABqhp8-u0nrjDQmyjZBMFg4E9_evIFi_cSfl1kzC5G33M_NCV4uNMlJ61lN0oXBduZphkB0wqV1EnB5mCGtvi6tQ6b4FA==,gAAAAABqhp8-e7lsmpJ26F3zDP0mwWpneyrlmvNLNISdb8UMm69XzeonUFMsxdjS7nVhDbLKIz8qTTX3CcSTsv1kfjmN84AMVg==,gAAAAABqhp8-z6mt2ZjRPzqxzvcseCBnpvgDazJkGXqd1LopGtWDaNTQKqk7vbqNb0DoPj3F9Pz5x4mwYOzMH1KuaGuFf4-Yog==
gAAAAABqhp8-5BqM2LuJMlqJ26e8tmOBLyAyBO8IH1NtAwst4YldrQwc90-svHNWTONhXk-bhmNm259Y3Rp2gdRN4mpWadCQ-g==,gAAAAABqhp8-fnRZtr9fdQSfgotUDGQ8F6sjhMgnSigr8_WRUqYG2dWN9AXzA4xEQEdBZXxMGZBopaVcb89Iq9Uun_OP1irapw==,gAAAAABqhp8-LOiaOyAwJn9qNngD36GFfUkZ4EVLua9Lr0BmLheBxkqW-M0WeVtml_xEIpL3IF84M70cFEz6mOfB4vuGeXq7Lw==,gAAAAABqhp8--6LDMGanUBfDKuoJ7CvsZyysxC7sYxy3-jpv6kWY7Jh-xevaFL5S0_NUE1bDA3kiqqxDwhywx5EB9bykEkAXYw==,gAAAAABqhp8-KWVWpCrzJ92ZW2TcqCxhXiRmlqTbbRMDfcBJGqhMfyljIWTpgMtyuK5XLtT3CB-KZw2kD0LlFR2Bxgms9hpi5w==
gAAAAABqhp8-nK3pW4JYolGVzuCtu_0yTEBu56aas8CMf9VKKPv7pI7Gc_epfoU-VhQjhRepix9m_RgarF-xUvLSOdyK4kX24Q==,gAAAAABqhp8-aaQnLf_eNflkG7DAbzlXdbqC1_xz5QA1FXjdmjq46lPrF0j8MJw6pZcx5PSE-YwmZJIMG5eCacEG2pGBBE-RGQ==,gAAAAABqhp8-x2bNkbW3XNm2y7ILYKGfbaqgsnz_x1RbXu4Yl_ug3JZJ8ZehpwFd-Fb_gynRRIIUnxXkXAHQ2bzOW5vC7YS3kw==,gAAAAABqhp8-vaSX4HUaywA7sgXGAfVicS0TJwHkezeOTmrwu41RGhPML3Wj77wBpcvSDgOCtsrw24jlWudQhY4FWxaWIMB1PQ==,gAAAAABqhp8-SpBS0sgPxLy5RqBUa2uJstBRGccvWxltMOHPurJdb2nX8feJYk7hlaUDQKq_vjdpdq6duH13OzYen3O0uehaLA==
gAAAAABqhp8-S-S1FdTfpG1xya-bB_gCVGFnVuwouaPmDiDFpPvuxXZTDDXxj53d9Gh6tqVSaIk22o5pGOYDakFC4kQGZZy8hA==,gAAAAABqhp8-Gk573wvyc81BkedIvb2pvXwBhxB4lsCwxfrwrKmkzo9PQ8kVY5hif_X_n-MKBCjLbkNLmzOxuwn9665RmwL4_A==,gAAAAABqhp8-bbnU_JWhaeryOZztWJiepzpqBPQJT1Gl50CU0xPGP6Lyo9kZInMgyOHTrophvFfJb1NT7VwUIf5pPhzX7XtVAg==,gAAAAABqhp8-NdCvchFXZ5C6zUuax8LLfHPus0XoDXsaRoRKjQZp3aMqbOMJgehGISD84uyVT38miS62ucpC9iO7oRetw-Z9jg==,gAAAAABqhp8-UdRmDv7ft9lDhzASw2NYj1uAgs-3fXiqrfI7AjLY8l-eMSjRnepcGeJXdWZ1KngvehpeIJlQ4g0ZFW4mRqOI-g==
gAAAAABqhp8-BOrOFSaldqnRMTukuv0qE5YGrcN3-t74BL7o2NgGZVapbLq-PrZPkoQsvBvW2DpjAP_lJlTgfIvV6RG9h15baA==,gAAAAABqhp8-_vdtolAoFchQqKgRRrcoUX3eL5oxOB8pW8n3RlxnipeomeOvpQ92C9Phy9YvbjWzyGY6iZ_EYC4IM5CV4w_-xA==,gAAAAABqhp8-KDK_0fKKXztLRmPRW5T-LfP37sL1510fbZgkgPoiJ91TJXw_QQLaCcE0uP8PIlIdezFvEdy2odXodl_1B4bERA==,gAAAAABqhp8-xWGmMu_bpA5JCcCpTT4wEXGgsFNqSC97BirUuoBnPKZGNl0FVU2zTtWq0dnmJVyCqWKQ8ka6nW4mGQOWdE6Eaw==,gAAAAABqhp8-UNgdd0cMpwR6EN6Wy0HO8v4C3avTlFg2a57-FGWfBiaadIIk25ql1R1UW3hI2Cu2imygcJGyBFwZXmNyxmJWgg==
gAAAAABqhp8-z5jpB5-ySqq20h7iU4Q20byoMbql7ipocgJoOarHnpq_EPnGI0yGn6fJNNjOVWn2cSSU0-j7o8HPDMw_YJI0xg==,gAAAAABqhp8-UtD1iAEwQrzAPCdWPR81QU8Qz3zKomOcAtO-Woptfob5WUDHNCyVKxTI-NU_esNy5PnVgBY_oKwuyy70eea02A==,gAAAAABqhp8-hrYJPqurqujddlpS4kHChWBlweSTySfxZmUfhPGLt-m5PtA4ZvS8k6cBiru-clMlM0_iZEbeYPzwCmx6icJ2FA==,gAAAAABqhp8-VTEaoMsGMHTDvWEJgmwv_hsRkrmSI1lYVrh0bFZuaERMmxFXvyoptHntAgqiXRZxiSfwWRrlhJtZSZte9okX-A==,gAAAAABqhp8-NL7B56BbBh_Sav1RBzvROy0Dav-8g5cjgOaXXohPOwHGCmL94eJkmblxx9AFJ8le7KBS3JJWPCtymQndW7dtuQ==
gAAAAABqhp8-otQL1xs7euhumKofdwr0RqXbB0IHFvEjWBWIc6kOGevO1zvKd3xZH_Lnxm6REyh4yh6BJXpGxu-sw7NjD1GgZg==,gAAAAABqhp8-jOpubrtxyJKQQtLsdoPO4PJku2deAId1FkRQ4mrJDLIz7w1tdUQqB_O0MIks56Plx-w6JsxosAC5dPYVBkvNLw==,gAAAAABqhp8-eyx1H5A_1eqaAHE7N-a2DWVR5bRmuHoghs_AQ0qBA-KTDOSEMU3dmhZd4cEjbP4xMoIwtwW2z7Rz3UsHEOfHXQ==,gAAAAABqhp8-0-zqoBRavrVCx3pWXdhn929zkdcJGcoow9lgLpHWa6av4Ao_iIIpUMInGdXUIkpbF_ZpJjOSoaZKYQoiOCqTeg==,gAAAAABqhp8-JXOk_ZPl-rZnnZGeUSa1y_WULh1X3g88F0LFkTprrxHKu7mDCGmtOYqEnMHnmioX-1Ud2BoX7W4PhkP9t1oVVQ==
gAAAAABqhp8-kaoDafLVAl-t3V-s4kot13DEYUgf7Uouh3nak7uFDLpxzTFHE7Cb7iUoZ6ST4c49wOMZ8Z8TUX7GSGERr8sDIA==,gAAAAABqhp8-mzq__tXkf5TVS7HNfTk7Aeb-raEa3AV5mi4vLuBQIUYz2et8JWnMxOfoDabN9jD4o07w7PLQoZQoZRJVR2S_tA==,gAAAAABqhp8-QSgTGFLtCRGUM7d6UsS62M1GI6O5RPqGZS04wA8I2-3OIOJCtraRKOFnn9Q79q3dsVFuxGUIFA_uK_15m9Ly6A==,gAAAAABqhp8-6PKSKxi0OVYewohv2xk4Dwi8oIdIOch5lCqBF7Dp0VNRJgtEevwhRsfkXiC-oKrkH5MajNeE-k5pPNsP-NnbFQ==,gAAAAABqhp8-7clq7CUxDOUj9KP7GAZswifferz-sqYX717wd0Z4-4rlGRUdG3cbE4k8uueEXNDDAMHIWByuql2rsH93rxWLbQ==
gAAAAABqhp8-FO3V29i827kLCru_k1WgLbqvl5Dlm-q7CAdnDPTBPzA2MmffZ3WjcP81mP5P7cVtMZnSRPV1OdCiVOou5vOp8w==,gAAAAABqhp8-a3FR8X5Nt8NXFKBUHs4j-UtA6rSBwQaPJOKlBEYbugZh7N0jXv2IUtLlQyEbGi4L9F5FMJLujnRtS5byMV8rrw==,gAAAAABqhp8-wHiZ0X0VGuzSHzhOCAi2geOEJ2Icy0mGcFhgERG2szkCMUsILW6h0i7JEnyIUCXftd2RYNiR7Laq3MWf5HGcMQ==,gAAAAABqhp8-u6NT3usJAaS1Wyebi3M-MhkNpOCbH_eyPSJDzNHuOaSX661L8mw_cTexBBwQvvKRMmmYeHZLGsdOba2RGESLTw==,gAAAAABqhp8-HS6Y6k8qrNfdp3wqk0uWwHyMlKfDmmg2FIUQZHFWeRwYxeye5s4rYyEXxrDeiN0Cz5bPe70qk1hibqQk2PK4yg==
gAAAAABqhp8-lj4OCJM1MG3a_nQ75AFRkseLutxsF4o741HRXFNbf2gVFMkY4IxDd4gsT6XsrwScEwKTzbWgw7WDm6PqORYgMw==,gAAAAABqhp8-Xktu9WfvXG_K3zG2EUjZz7hzYuaWqhEexur3409PXIuKUJfXYjb_LmXoVr0VkKlVBYsMFxUSsdIYC-FYXZK-6g==,gAAAAABqhp8-cdPQXVIAQB6CflaluXg86ouQ8_E03hmgf6kMokzwfcSiHWrtrcHndRfPVni3ZWebno6df4vLqBKLXEk0lr0joA==,gAAAAABqhp8-LJw8Eb53jy6SiV6l6xNkbqpwaPft4GosZSB7SoYdM7YhldYl3QSV9rT5pM9QA58ndGFeMscLT6fclHcpfhXRWQ==,gAAAAABqhp8-n2KaUn_E5XKPi7UQsgujhoctouTQz6kVVkd6BtUIi4HawOE65J4D73x1AdkmDVSnBzZSoYOW00T_8M3mlKtLow==
